,Dim1,Dim2,tokens,article,competitor
105,-57.38350296020508,29.51980209350586,sum,0,0
106,62.660457611083984,-30.940746307373047,ins,0,0
107,-0.1522010862827301,21.686798095703125,##ured,0,0
108,26.13571548461914,34.720184326171875,day,0,0
109,-27.621543884277344,-17.794113159179688,stays,0,0
110,25.937440872192383,34.76194763183594,maximum,0,0
111,37.31605529785156,44.176673889160156,days,0,0
112,-25.589033126831055,50.72975540161133,e,0,0
113,-17.160024642944336,67.4381103515625,policy,0,0
114,56.798763275146484,-19.24918556213379,snaps,0,0
115,8.807572364807129,56.876312255859375,##hot,0,0
116,7.868948459625244,59.952152252197266,listed,0,0
117,5.804928302764893,-28.001508712768555,feel,0,0
118,13.862404823303223,3.538316488265991,premature,0,0
119,-8.256486892700195,65.06417846679688,birth,0,0
120,-3.7233307361602783,-24.56707763671875,requiring,0,0
