,Dim1,Dim2,tokens,article,competitor
11952,-8.855965614,-3.249727011,adrenaline,29,1
26206,-19.59720993,-29.20125198,adrian,69,3
2524,10.19221497,-8.54193306,adulthood,5,0
33031,-33.8439827,-16.65151596,adulthood,88,4
9318,-26.15188408,17.50919533,adults,21,0
15160,-38.02959824,2.634271145,adults,41,1
17635,7.244031906,-4.116201878,adults,48,1
24224,-38.04859161,2.744470596,adults,64,3
26130,-38.04842377,2.7444098,adults,69,3
9288,-22.00909805,51.76425934,advancement,21,0
11346,-21.84072685,51.85490417,advancement,28,1
13852,-21.98558235,51.79533005,advancement,36,1
26232,-46.46383286,7.466997623,advancement,69,3
17142,-39.03306198,-9.773815155,advantages,46,1
6598,-18.97255707,13.46610832,advent,13,0
28890,-23.12657547,-30.23824883,advent,76,3
7912,-9.651127815,-10.51999855,adventurous,16,0
1990,25.07646179,-23.0221386,adversary,4,0
402,52.2575531,25.38578987,adverse,0,0
4570,51.96121597,25.36065483,adverse,9,0
4912,52.14328766,25.37646675,adverse,10,0
7861,16.29514503,-11.17070389,adverse,16,0
17343,52.63430786,25.42896461,adverse,47,1
18238,52.40163422,25.45731163,adverse,49,1
18381,52.58613205,25.43607521,adverse,50,2
19648,-15.35379505,34.72828674,adverse,53,2
20334,52.6569252,25.46333313,adverse,55,2
21454,51.99381256,25.39904785,adverse,58,3
24171,16.30303001,-11.15081978,adverse,64,3
29100,52.03177261,25.40994072,adverse,76,3
30361,42.84091187,31.07710457,adverse,79,3
1829,-12.76710796,-16.87944603,advertised,3,0
28048,-12.17137051,-28.59702301,advised,73,3
31261,-21.56738281,-25.36682701,advised,81,3
31951,4.227899075,-30.12160301,advised,82,3
32697,-24.31081009,-34.15023041,advised,85,4
6787,-16.37802696,-43.77463531,advises,14,0
13653,-31.27537155,3.214740276,advocates,35,1
3652,23.41138649,23.09287643,aero,7,0
9234,23.38743973,23.06887054,aero,21,0
10329,23.32605934,23.0939045,aero,25,1
1075,-28.71178627,3.671694517,aesthetic,1,0
2912,-38.48697281,30.81438828,aesthetic,5,0
7472,-28.65272141,3.478446245,aesthetic,16,0
8229,-29.22118759,2.680912018,aesthetic,17,0
9543,-31.22210884,39.25733566,aesthetic,22,0
10863,-28.56206703,3.489713907,aesthetic,27,1
13457,-31.08165359,39.18230438,aesthetic,35,1
13730,-28.54866219,2.702467442,aesthetic,36,1
14645,-28.75020409,3.671730995,aesthetic,39,1
16188,-31.14702415,39.22832108,aesthetic,45,1
16947,-31.35373116,39.14019012,aesthetic,46,1
18054,-11.33481312,-23.93880844,aesthetic,49,1
18277,-28.91531372,3.337311983,aesthetic,50,2
18651,-28.69217873,3.849047661,aesthetic,51,2
19541,-29.1372776,3.103280306,aesthetic,53,2
20003,-28.80257797,3.731566668,aesthetic,54,2
20249,-28.84170914,3.345589399,aesthetic,55,2
21323,-31.05747604,39.20047379,aesthetic,58,3
21829,-29.43741226,2.575440884,aesthetic,59,3
29251,-29.15759659,2.959008455,aesthetic,76,3
30543,-28.44226646,3.566707134,aesthetic,80,3
31141,-31.44172668,39.33141327,aesthetic,81,3
32096,-29.47718239,3.117937326,aesthetic,82,3
32712,-28.8618679,3.514154911,aesthetic,85,4
33280,-31.3288517,39.27390289,aesthetic,89,4
33399,-31.30868912,39.27536392,aesthetic,90,4
33863,-29.22893715,3.047306299,aesthetic,92,4
34165,-28.92200089,3.452089071,aesthetic,93,4
34359,-31.42248726,39.34777069,aesthetic,94,4
34561,-31.42248726,39.34777069,aesthetic,95,4
34763,-31.42249107,39.34777451,aesthetic,96,4
35049,-28.80856133,3.511763811,aesthetic,97,4
35449,-29.25980568,3.027724504,aesthetic,99,4
35757,-31.28059578,39.30260849,aesthetic,100,4
36120,-30.97361946,2.285621166,aesthetic,101,4
36301,-31.14533424,39.21730423,aesthetic,102,4
36646,-31.14533424,39.21730423,aesthetic,103,4
3780,-30.47460175,2.021655321,aesthetics,7,0
